instance family sequentialixinduced3 sequentialixinducedrestarts5
si4_b09m_m200.03 4 37 37
si4_b09m_m200.06 4 27 37
si4_b09m_m200.02 4 43 37
si4_b09m_m200.04 4 36 39
si4_b09m_m200.05 4 38 37
si4_b09m_m200.07 4 37 47
si4_b09m_m200.08 4 43 40
si4_b09m_m200.09 4 37 38
si4_m4Dr4_m625.07 6 229 284
si4_m4Dr4_m625.05 6 327 294
si4_m4Dr4_m625.01 6 296 266
si4_m4Dr4_m625.08 6 234 226
si4_m4Dr4_m625.09 6 343 272
si4_m4Dr4_m625.00 6 352 253
si4_m4Dr4_m625.04 6 293 325
si4_m4Dr4_m625.06 6 307 303
si4_m4Dr4_m625.03 6 280 222
si4_m4Dr4_m625.02 6 346 296
si4_m4Dr4_m1296.03 6 1609 1446
si4_m4Dr4_m1296.01 6 1596 1547
si4_m4Dr4_m1296.00 6 1313 1510
si4_m4Dr4_m1296.07 6 1337 1307
si4_m4Dr4_m1296.02 6 1562 1361
si4_m4Dr4_m1296.04 6 1324 1428
si4_m4Dr4_m1296.09 6 1365 1371
si4_m4Dr4_m1296.06 6 1367 1571
si4_m4Dr4_m1296.08 6 1677 1383
si4_m4Dr4_m1296.05 6 1483 1658
si2_r005_m400.05 7 8971 10251
si2_r005_m400.06 7 6482 6711
si2_r005_m400.08 7 5147 4586
si2_r005_m400.02 7 46025 82244
si2_r005_m400.03 7 3578 3900
si2_r005_m400.00 7 7760 6050
si2_r005_m400.07 7 19655 17350
si2_r005_m400.09 7 1132 1577
si2_r005_m400.04 7 2350 3547
si2_r005_m400.01 7 504 420
si2_b06m_m400.03 4 71 60
si2_b06m_m400.06 4 58 78
si2_b06m_m400.05 4 103 110
si2_b06m_m400.01 4 102 107
si2_b06m_m400.00 4 119 97
si2_b06m_m400.08 4 102 103
si2_b06m_m400.07 4 93 82
si2_b06m_m400.09 4 98 98
si2_b06m_m400.04 4 104 102
si2_b06m_m400.02 4 58 59
si6_r005_m600.02 7 2662 3028
si6_r005_m600.08 7 707 768
si6_r005_m600.03 7 1405 1261
si6_r005_m600.05 7 1248 1405
si6_r005_m600.07 7 2260 1288
si6_r005_m600.04 7 1296 1439
si6_r005_m600.06 7 8703 8702
si6_r005_m600.01 7 1105 1019
si6_r005_m600.09 7 651 1604
si6_r005_m600.00 7 1029 1270
si6_r005_m200.02 7 135 70
si6_r005_m200.08 7 95 86
si6_r005_m200.09 7 59 97
si6_r005_m200.05 7 141 151
si6_r005_m200.03 7 70 105
si6_r005_m200.00 7 135 147
si6_r005_m200.04 7 44 86
si6_r005_m200.07 7 85 89
si6_r005_m200.01 7 50 73
si6_r005_m200.06 7 88 86
si2_m4Dr6_m625.06 6 201 277
si2_m4Dr6_m625.08 6 271 224
si2_m4Dr6_m625.07 6 216 258
si2_m4Dr6_m625.03 6 218 215
si2_m4Dr6_m625.04 6 152 241
si2_m4Dr6_m625.05 6 243 258
si2_m4Dr6_m625.09 6 188 156
si2_m4Dr6_m625.01 6 245 204
si2_m4Dr6_m625.02 6 230 226
si2_m4Dr6_m625.00 6 205 259
si6_b03_m800.02 3 814 625
si6_b03_m800.04 3 881 791
si6_b03_m800.03 3 659 733
si6_b03_m800.05 3 810 898
si6_b03_m800.06 3 740 623
si6_b03_m800.01 3 860 623
si6_b03_m800.00 3 778 692
si6_b03_m800.07 3 679 823
si6_b03_m800.09 3 774 723
si6_b03_m800.08 3 834 829
si4_m4D_m1296.09 5 1058 1187
si4_m4D_m1296.06 5 1240 1143
si4_m4D_m1296.05 5 1228 1407
si4_m4D_m1296.00 5 16045 6755
si4_m4D_m1296.03 5 10119 1579
si4_m4D_m1296.04 5 1272 1225
si4_m4D_m1296.08 5 NaN NaN
si4_m4D_m1296.02 5 2979 1762
si4_m4D_m1296.01 5 1251 1177
si4_m4D_m1296.07 5 1037 1068
si6_b03m_m400.03 4 147 173
si6_b03m_m400.01 4 170 173
si6_b03m_m400.09 4 171 175
si6_b03m_m400.08 4 95 140
