instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
si2_m4D_m1296.07 5 1 3 3 3 3 3 3 3 3 160 159 158
si2_m4D_m1296.02 5 1 3 4 3 4 3 4 4 4 160 160 159
si2_m4D_m1296.04 5 1 8 8 3 4 7 4 4 4 162 162 163
si2_m4D_m1296.00 5 1 3 3 3 3 3 4 5 4 163 165 162
si4_b03_m800.05 3 1 5 5 5 5 5 6 6 5 135 134 136
si4_b03_m800.00 3 1 7 5 5 5 5 4 5 4 128 128 128
si4_b03_m800.08 3 1 6 5 5 5 6 5 5 5 127 127 125
si4_b03_m800.09 3 1 5 5 5 7 5 4 5 4 135 137 133
si4_b03_m800.03 3 1 5 5 5 5 5 6 5 5 134 138 134
si4_b03_m800.02 3 1 5 5 5 5 5 6 6 6 134 134 134
si4_b03_m800.04 3 1 5 5 5 5 5 5 7 5 133 136 133
si4_b03_m800.01 3 1 5 5 5 5 5 4 5 5 132 132 132
si4_b03_m800.06 3 1 5 5 5 5 5 6 5 5 132 134 134
si4_b03_m800.07 3 1 6 5 5 5 5 4 5 6 133 132 133
si6_m4D_m1296.02 5 1 25 25 25 26 25 26 26 27 472 472 474
si6_m4D_m1296.07 5 1 87 86 50 362 NaN 56 408 408 458 454 458
si6_m4D_m1296.05 5 1 26 26 25 26 25 26 27 27 450 449 449
si6_m4D_m1296.09 5 1 63 202 157 64 NaN 174 71 71 481 477 478
si6_m4D_m1296.00 5 1 54 200 35 160 NaN 38 176 174 462 480 489
si6_m4D_m1296.08 5 1 25 25 25 26 125 26 27 26 473 466 467
si6_m4D_m1296.04 5 1 24 24 24 25 24 26 26 26 455 457 454
si6_m4D_m1296.06 5 1 680 175 28 442 NaN 30 496 491 441 445 449
si6_m4D_m1296.01 5 1 125 78 240 351 NaN 268 409 737 461 484 497
si6_m4D_m1296.03 5 1 1110 1846 2428 464 NaN 5821 1263 3268 834 780 769
si6_r001_m200.05 7 1 0 0 0 0 0 0 0 0 14 13 14
si6_r001_m200.09 7 1 0 0 0 0 0 0 0 0 13 13 13
si6_r001_m200.07 7 1 0 0 0 0 0 0 0 0 13 13 14
si6_r001_m200.02 7 1 0 0 0 0 0 0 0 0 13 13 13
si6_r001_m200.01 7 1 0 0 0 0 0 0 0 0 14 14 14
si6_r001_m200.00 7 1 0 0 0 0 0 0 0 0 13 13 16
si6_r001_m200.04 7 1 0 0 0 0 0 0 0 0 13 19 13
si6_r001_m200.06 7 1 0 0 0 0 0 0 0 0 14 12 14
si6_r001_m200.08 7 1 0 0 0 0 0 0 0 0 13 14 14
si6_r001_m200.03 7 1 0 0 0 0 0 0 0 0 14 13 15
si4_b06_m400.06 3 1 1 0 0 0 1 0 0 0 32 32 31
si4_b06_m400.07 3 1 0 0 0 0 0 1 1 1 31 31 30
si4_b06_m400.09 3 1 1 1 0 0 0 0 0 0 31 30 30
si4_b06_m400.01 3 1 0 0 0 0 0 0 1 1 32 30 32
si4_b06_m400.04 3 1 0 0 0 0 0 0 1 0 32 28 33
si4_b06_m400.03 3 1 0 0 0 0 0 1 1 0 31 31 30
si4_b06_m400.00 3 1 0 0 0 0 0 0 1 0 32 34 32
