instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
si6_r001_m200.00 7 1 10 10 10 10 10 10 10 10 31 16 19
si6_r001_m200.04 7 1 17 16 17 17 17 17 17 17 108 81 87
si6_r001_m200.06 7 1 14 14 14 14 14 14 14 14 42 17 61
si6_r001_m200.08 7 1 22 23 22 22 22 22 22 22 23 124 162
si6_r001_m200.03 7 1 13 13 13 13 13 13 13 13 55 35 56
si4_b06_m400.06 3 1 3 3 3 3 3 3 3 3 45 44 29
si4_b06_m400.07 3 1 3 3 3 3 3 3 3 3 32 30 32
si4_b06_m400.09 3 1 3 3 3 3 3 3 3 3 26 27 29
si4_b06_m400.01 3 1 3 3 3 3 3 3 3 3 30 42 43
si4_b06_m400.04 3 1 3 3 3 3 3 3 3 3 30 25 31
si4_b06_m400.03 3 1 3 3 3 3 3 3 3 3 29 27 30
si4_b06_m400.00 3 1 3 3 3 3 3 3 3 3 44 47 44
si4_b06_m400.05 3 1 3 3 3 3 3 3 3 3 44 46 49
si4_b06_m400.08 3 1 3 3 3 3 3 3 3 3 44 44 38
si4_b06_m400.02 3 1 3 3 3 3 3 3 3 3 47 48 32
si2_m4Dr6_m256.06 6 1 46 10 22 46 144 22 46 46 161 157 157
si2_m4Dr6_m256.05 6 1 15 10 11 14 14 11 14 14 49 31 45
si2_m4Dr6_m256.09 6 1 8 8 8 8 8 8 8 8 21 20 24
si2_m4Dr6_m256.00 6 1 26 19 34 34 87 34 34 34 142 122 116
si2_m4Dr6_m256.07 6 1 9 9 9 9 9 9 9 9 38 25 26
si2_m4Dr6_m256.04 6 1 10 15 14 15 10 14 15 15 61 61 56
si2_m4Dr6_m256.02 6 1 30 4 27 29 249 27 29 29 96 56 113
