instance family mcsplitdown2 mcsplitdownbiasedrestarts2
si4_m4Dr2_m1296.03 6 33 47
si4_m4Dr2_m1296.09 6 38 42
si6_b09_m800.03 3 14 20
si6_b09_m800.09 3 18 20
si6_b09_m800.07 3 20 19
si6_b09_m800.05 3 21 20
si6_b09_m800.04 3 14 20
si6_b09_m800.01 3 15 15
si6_b09_m800.00 3 16 18
si6_b09_m800.02 3 19 18
si6_b09_m800.06 3 18 17
si6_b09_m800.08 3 19 22
si6_b06m_m400.00 4 8 6
si6_b06m_m400.08 4 6 6
si6_b06m_m400.03 4 5 7
si6_b06m_m400.04 4 6 6
si6_b06m_m400.06 4 4 6
si6_b06m_m400.07 4 6 6
si6_b06m_m400.09 4 5 3
si6_b06m_m400.02 4 5 5
si6_b06m_m400.01 4 5 6
si6_b06m_m400.05 4 6 6
si2_m4Dr4_m1296.08 6 45 28
si2_m4Dr4_m1296.07 6 19 33
si2_m4Dr4_m1296.03 6 28 36
si2_m4Dr4_m1296.05 6 23 30
si2_m4Dr4_m1296.06 6 15 30
si2_m4Dr4_m1296.04 6 1092 27
si2_m4Dr4_m1296.09 6 27 33
si2_m4Dr4_m1296.01 6 28 29
si2_m4Dr4_m1296.00 6 20 24
si2_m4Dr4_m1296.02 6 40 39
si6_m4Dr6_m1296.02 6 49 59
si6_m4Dr6_m1296.08 6 59 63
si6_m4Dr6_m1296.07 6 46 47
si6_m4Dr6_m1296.06 6 51 59
si6_m4Dr6_m1296.03 6 54 60
si6_m4Dr6_m1296.04 6 59 64
si6_m4Dr6_m1296.05 6 46 50
si6_m4Dr6_m1296.00 6 51 66
si6_m4Dr6_m1296.09 6 45 67
si6_m4Dr6_m1296.01 6 57 54
si4_m4Dr2_m256.00 6 3 4
si4_m4Dr2_m256.01 6 1 2
si4_m4Dr2_m256.05 6 1 2
si4_m4Dr2_m256.04 6 2 2
si4_m4Dr2_m256.08 6 2 2
si4_m4Dr2_m256.07 6 1 2
si4_m4Dr2_m256.06 6 2 1
si4_m4Dr2_m256.02 6 2 2
si4_m4Dr2_m256.09 6 1 2
si4_m4Dr2_m256.03 6 1 1
si4_b09m_m200.01 4 1 1
si4_b09m_m200.00 4 1 1
si4_b09m_m200.03 4 1 0
si4_b09m_m200.06 4 1 1
si4_b09m_m200.02 4 1 1
si4_b09m_m200.04 4 1 1
si4_b09m_m200.05 4 0 1
si4_b09m_m200.07 4 1 1
si4_b09m_m200.08 4 1 1
si4_b09m_m200.09 4 1 1
si4_m4Dr4_m625.07 6 7 6
si4_m4Dr4_m625.05 6 9 9
si4_m4Dr4_m625.01 6 9 10
si4_m4Dr4_m625.08 6 10 11
si4_m4Dr4_m625.09 6 8 14
si4_m4Dr4_m625.00 6 13 20
si4_m4Dr4_m625.04 6 8 8
si4_m4Dr4_m625.06 6 11 8
si4_m4Dr4_m625.03 6 7 10
si4_m4Dr4_m625.02 6 5 9
si4_m4Dr4_m1296.03 6 38 45
si4_m4Dr4_m1296.01 6 34 35
si4_m4Dr4_m1296.00 6 37 41
si4_m4Dr4_m1296.07 6 39 39
si4_m4Dr4_m1296.02 6 29 37
si4_m4Dr4_m1296.04 6 33 46
si4_m4Dr4_m1296.09 6 39 42
si4_m4Dr4_m1296.06 6 68 102
si4_m4Dr4_m1296.08 6 37 32
si4_m4Dr4_m1296.05 6 56 53
si2_r005_m400.05 7 606 802
si2_r005_m400.06 7 290 275
si2_r005_m400.08 7 315 369
si2_r005_m400.02 7 1179 686
si2_r005_m400.03 7 126 161
si2_r005_m400.00 7 570 637
si2_r005_m400.07 7 500 609
si2_r005_m400.09 7 62 113
si2_r005_m400.04 7 201 124
si2_r005_m400.01 7 12 28
si2_b06m_m400.03 4 3 2
si2_b06m_m400.06 4 1 3
si2_b06m_m400.05 4 3 3
si2_b06m_m400.01 4 2 2
si2_b06m_m400.00 4 2 3
si2_b06m_m400.08 4 2 3
si2_b06m_m400.07 4 2 3
si2_b06m_m400.09 4 2 3
si2_b06m_m400.04 4 1 3
si2_b06m_m400.02 4 1 1
si6_r005_m600.02 7 31 37
si6_r005_m600.08 7 13 18
si6_r005_m600.03 7 18 17
si6_r005_m600.05 7 26 35
si6_r005_m600.07 7 25 51
si6_r005_m600.04 7 23 36
si6_r005_m600.06 7 80 85
si6_r005_m600.01 7 12 21
si6_r005_m600.09 7 12 28
si6_r005_m600.00 7 16 15
si6_r005_m200.02 7 4 4
si6_r005_m200.08 7 3 5
si6_r005_m200.09 7 3 4
si6_r005_m200.05 7 6 13
si6_r005_m200.03 7 2 4
si6_r005_m200.00 7 10 13
si6_r005_m200.04 7 1 2
si6_r005_m200.07 7 2 2
si6_r005_m200.01 7 1 2
si6_r005_m200.06 7 2 4
si2_m4Dr6_m625.06 6 4 6
si2_m4Dr6_m625.08 6 4 6
si2_m4Dr6_m625.07 6 7 7
si2_m4Dr6_m625.03 6 6 9
si2_m4Dr6_m625.04 6 5 6
si2_m4Dr6_m625.05 6 6 6
si2_m4Dr6_m625.09 6 7 6
si2_m4Dr6_m625.01 6 13 4
si2_m4Dr6_m625.02 6 7 8
si2_m4Dr6_m625.00 6 5 7
si6_b03_m800.02 3 14 21
si6_b03_m800.04 3 20 22
si6_b03_m800.03 3 18 19
si6_b03_m800.05 3 16 18
si6_b03_m800.06 3 15 20
si6_b03_m800.01 3 14 19
si6_b03_m800.00 3 17 14
si6_b03_m800.07 3 16 16
si6_b03_m800.09 3 16 21
