instance family sat glasgowdegreenorestartsnonogoodsinduced glasgowbiasedinduced
si2_b09m_m800.05 4 1 14 14
si2_b09m_m800.03 4 1 11 11
si2_b09m_m800.08 4 1 21 21
si2_b09m_m800.06 4 1 5 5
si2_b09m_m800.01 4 1 10 10
si4_b03_m400.01 3 1 3 3
si4_b03_m400.02 3 1 3 3
si4_b03_m400.05 3 1 3 3
si4_b03_m400.07 3 1 3 3
si4_b03_m400.06 3 1 3 3
si4_b03_m400.00 3 1 3 3
si4_b03_m400.03 3 1 3 3
si4_b03_m400.04 3 1 3 3
si4_b03_m400.09 3 1 3 3
si4_b03_m400.08 3 1 3 3
si2_b03_m200.05 3 1 3 3
si2_b03_m200.09 3 1 3 3
si2_b03_m200.07 3 1 3 3
si2_b03_m200.01 3 1 3 3
si2_b03_m200.08 3 1 3 3
si2_b03_m200.02 3 1 3 3
si2_b03_m200.04 3 1 3 3
si2_b03_m200.03 3 1 3 3
si2_b03_m200.06 3 1 3 3
si2_b03_m200.00 3 1 3 3
si4_r005_m600.00 7 1 8015 13565
si4_r005_m600.02 7 1 8670 6628
si4_r005_m600.08 7 1 68936 83673
si4_r005_m600.05 7 1 23511 21387
si4_r005_m600.07 7 1 12347 11143
si4_r005_m600.06 7 1 30461 29434
si4_r005_m600.01 7 1 3363 1953
si4_r005_m600.04 7 1 28642 22303
si4_r005_m600.03 7 1 3189 2701
si4_r005_m600.09 7 1 1192 2280
si4_b09_m400.05 3 1 3 3
si4_b09_m400.03 3 1 3 3
si4_b09_m400.00 3 1 3 3
si4_b09_m400.07 3 1 3 3
si4_b09_m400.01 3 1 3 3
si4_b09_m400.06 3 1 3 3
si4_b09_m400.04 3 1 3 3
si4_b09_m400.02 3 1 3 3
si4_b09_m400.08 3 1 3 3
si4_b09_m400.09 3 1 3 3
si4_b06m_m400.06 4 1 10 10
si4_b06m_m400.03 4 1 4 4
si4_b06m_m400.01 4 1 3 3
si4_b06m_m400.08 4 1 7 7
si4_b06m_m400.05 4 1 13 13
si4_b06m_m400.07 4 1 8 8
si4_b06m_m400.00 4 1 5 5
si4_b06m_m400.04 4 1 14 14
si4_b06m_m400.09 4 1 13 13
si4_b06m_m400.02 4 1 8 8
si2_m4Dr2_m625.05 6 1 13 16
si2_m4Dr2_m625.00 6 1 167 190
si2_m4Dr2_m625.08 6 1 2 2
si2_m4Dr2_m625.09 6 1 18 18
si2_m4Dr2_m625.06 6 1 24 24
si2_m4Dr2_m625.04 6 1 11 11
si2_m4Dr2_m625.01 6 1 28 49
si2_m4Dr2_m625.03 6 1 41 27
si2_m4Dr2_m625.02 6 1 21 20
si2_m4Dr2_m625.07 6 1 21 21
si2_r005_m200.02 7 1 33 9
si2_r005_m200.01 7 1 271833 257139
si2_r005_m200.03 7 1 3120 3979
si2_r005_m200.05 7 1 4792 6408
si2_r005_m200.08 7 1 9869 21271
si2_r005_m200.04 7 1 11197 11147
si2_r005_m200.09 7 1 2049 3155
si2_r005_m200.06 7 1 1101 1600
si2_r005_m200.00 7 1 12675 6041
si2_r005_m200.07 7 1 1166 1176
si4_b03m_m400.03 4 1 27 27
si4_b03m_m400.09 4 1 19 19
si4_b03m_m400.08 4 1 21 21
si4_b03m_m400.04 4 1 19 19
si4_b03m_m400.00 4 1 21 21
si4_b03m_m400.01 4 1 25 25
si4_b03m_m400.07 4 1 20 20
si4_b03m_m400.02 4 1 24 24
si4_b03m_m400.06 4 1 18 18
si4_b03m_m400.05 4 1 23 23
si2_r01_m600.01 7 1 383883 492281
si2_r01_m600.06 7 1 1421865 958075
si2_r01_m600.09 7 1 3906087 4345177
si2_r01_m600.08 7 1 6626584 2977431
si2_r01_m600.04 7 1 1598233 1667383
si2_r01_m600.02 7 1 2059710 2048795
si2_r01_m600.00 7 1 1270283 1613045
si2_r01_m600.07 7 1 612843 770942
si2_r01_m600.03 7 1 1075290 977001
si2_r01_m600.05 7 1 975396 917504
si4_m4Dr6_m256.01 6 1 1 1
si4_m4Dr6_m256.00 6 1 10 8
si4_m4Dr6_m256.05 6 1 24 36
si4_m4Dr6_m256.08 6 1 13 11
si4_m4Dr6_m256.03 6 1 7 7
si4_m4Dr6_m256.06 6 1 6 6
si4_m4Dr6_m256.09 6 1 5 5
si4_m4Dr6_m256.07 6 1 56 125
si4_m4Dr6_m256.02 6 1 3 3
si4_m4Dr6_m256.04 6 1 7 7
si2_b03m_m400.02 4 1 8 8
si2_b03m_m400.00 4 1 17 16
si2_b03m_m400.01 4 1 23 21
si2_b03m_m400.05 4 1 12 12
si2_b03m_m400.08 4 1 20 20
si2_b03m_m400.07 4 1 24 24
si2_b03m_m400.09 4 1 24 24
si2_b03m_m400.03 4 1 16 16
si2_b03m_m400.04 4 1 23 23
si2_b03m_m400.06 4 1 30 24
si2_b03m_m200.05 4 1 3 3
si2_b03m_m200.03 4 1 16 16
si2_b03m_m200.00 4 1 6 6
si2_b03m_m200.08 4 1 4 4
si2_b03m_m200.06 4 1 8 8
si2_b03m_m200.02 4 1 14 14
si2_b03m_m200.09 4 1 14 8
si2_b03m_m200.04 4 1 16 16
si2_b03m_m200.01 4 1 15 15
si2_b03m_m200.07 4 1 13 13
si4_r001_m200.04 7 1 14 12
si4_r001_m200.07 7 1 10 10
si4_r001_m200.00 7 1 14 16
